Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
49754,104169,Male,Loyal Customer,27,Business travel,Business,3424,1,1,1,1,4,3,3,4,4,5,4,3,4,3,181,,satisfied
53401,35673,Female,Loyal Customer,11,Business travel,Eco,2576,0,5,0,5,0,5,5,1,2,5,5,5,2,5,160,,satisfied
55133,29804,Female,Loyal Customer,35,Business travel,Business,3981,4,4,4,4,4,5,4,4,1,4,2,4,1,4,155,,satisfied
27904,8752,Female,Loyal Customer,50,Business travel,Business,1147,2,2,2,2,2,5,4,5,5,5,5,4,5,4,0,,satisfied
35501,21316,Male,Loyal Customer,46,Business travel,Eco Plus,714,4,4,4,4,4,4,4,4,5,1,2,4,5,4,8,,satisfied
45081,69493,Male,Loyal Customer,23,Personal Travel,Eco Plus,1096,3,5,3,3,3,3,5,3,5,5,4,4,5,3,0,,neutral or dissatisfied
68711,5298,Female,Loyal Customer,34,Personal Travel,Eco,285,3,1,3,3,4,3,4,4,4,2,4,3,4,4,0,,neutral or dissatisfied
28352,114031,Male,Loyal Customer,54,Personal Travel,Eco Plus,1750,1,3,0,4,3,0,3,3,5,1,5,4,3,3,1,,neutral or dissatisfied
56149,81415,Female,Loyal Customer,65,Business travel,Business,2068,5,5,3,5,4,5,5,4,4,4,4,5,4,3,0,,satisfied
37891,112304,Male,Loyal Customer,29,Personal Travel,Eco Plus,1671,3,3,2,4,1,2,1,1,4,1,4,2,4,1,99,,neutral or dissatisfied
14301,84022,Female,Loyal Customer,24,Personal Travel,Eco,321,3,2,3,4,4,3,4,4,1,2,4,3,4,4,10,,neutral or dissatisfied
91900,72845,Male,Loyal Customer,42,Business travel,Business,1713,5,5,5,5,2,5,5,3,3,3,3,4,3,4,22,,satisfied
84710,110823,Male,Loyal Customer,13,Personal Travel,Eco,997,2,1,2,2,1,2,1,1,3,3,2,2,2,1,96,,neutral or dissatisfied
36319,89345,Male,Loyal Customer,26,Business travel,Business,1541,2,4,4,4,2,2,2,2,3,4,4,3,3,2,1,,neutral or dissatisfied
2004,72940,Female,disloyal Customer,26,Business travel,Business,1035,3,3,3,1,2,3,2,2,3,3,4,5,5,2,41,,neutral or dissatisfied
30529,98162,Female,Loyal Customer,23,Personal Travel,Eco,562,2,4,3,2,2,3,1,2,3,4,4,3,5,2,2,,neutral or dissatisfied
85949,8523,Female,Loyal Customer,12,Personal Travel,Eco,737,3,5,3,1,3,3,3,3,3,4,5,3,4,3,0,,neutral or dissatisfied
34140,40316,Male,Loyal Customer,31,Personal Travel,Eco,358,3,5,3,3,4,3,4,4,4,2,5,4,5,4,0,,neutral or dissatisfied
35271,107744,Male,Loyal Customer,55,Personal Travel,Eco,466,1,4,1,2,1,4,4,3,3,4,4,4,3,4,136,,neutral or dissatisfied
18620,71751,Female,Loyal Customer,50,Business travel,Business,1723,2,2,2,2,5,4,5,5,5,5,5,4,5,5,19,,satisfied
7225,97948,Male,Loyal Customer,48,Business travel,Business,391,1,1,1,1,4,5,4,5,5,5,5,4,5,5,0,,satisfied
66828,37249,Male,Loyal Customer,11,Personal Travel,Business,950,3,3,3,2,4,3,4,4,1,1,4,1,2,4,95,,neutral or dissatisfied
40099,118201,Female,Loyal Customer,31,Personal Travel,Eco,1444,1,4,1,3,4,1,4,4,4,3,4,4,3,4,1,,neutral or dissatisfied
17234,62745,Female,Loyal Customer,31,Business travel,Business,2556,1,1,1,1,4,4,4,4,3,2,4,5,5,4,26,,satisfied
9551,39734,Male,Loyal Customer,70,Personal Travel,Eco,298,2,4,2,3,1,2,1,1,3,2,4,3,5,1,0,,neutral or dissatisfied
59679,45562,Female,Loyal Customer,49,Business travel,Business,2266,4,3,4,4,4,4,5,4,4,4,4,1,4,1,28,,satisfied
81346,101828,Female,Loyal Customer,45,Personal Travel,Eco,1521,1,4,1,2,5,4,5,2,2,1,2,4,2,3,69,,neutral or dissatisfied
98946,19609,Male,Loyal Customer,65,Business travel,Business,3663,3,3,3,3,2,4,3,4,4,4,4,5,4,5,1,,satisfied
66428,110773,Male,disloyal Customer,26,Business travel,Business,1166,3,3,3,2,3,3,4,4,2,5,5,4,4,4,154,,neutral or dissatisfied
76866,12625,Male,Loyal Customer,51,Business travel,Business,2748,2,5,3,5,4,4,3,2,2,2,2,2,2,2,0,,neutral or dissatisfied
3621,48387,Male,Loyal Customer,47,Personal Travel,Eco,587,1,2,1,3,4,1,4,4,1,1,4,4,4,4,17,,neutral or dissatisfied
94759,114368,Male,Loyal Customer,10,Business travel,Business,1577,5,5,5,5,4,4,4,4,5,2,5,4,5,4,73,,satisfied
28494,48017,Female,Loyal Customer,68,Personal Travel,Eco Plus,748,5,4,5,3,3,5,4,3,3,5,3,4,3,5,0,,satisfied
38610,50179,Female,Loyal Customer,39,Business travel,Eco,89,5,4,4,4,5,5,5,5,4,4,5,3,4,5,0,,satisfied
81062,7048,Male,Loyal Customer,24,Personal Travel,Eco Plus,234,3,5,0,4,1,0,1,1,4,4,4,5,5,1,96,,neutral or dissatisfied
46816,39356,Male,disloyal Customer,22,Business travel,Eco,896,3,3,3,4,3,3,3,3,1,3,2,4,3,3,0,,neutral or dissatisfied
32558,109911,Female,Loyal Customer,63,Business travel,Business,3104,3,2,3,3,5,4,5,4,4,4,4,4,4,3,0,,satisfied
60367,112231,Female,Loyal Customer,33,Personal Travel,Eco Plus,1199,2,1,1,2,2,1,2,2,1,3,3,1,3,2,4,,neutral or dissatisfied
78116,108151,Female,Loyal Customer,38,Personal Travel,Eco,1105,2,0,2,3,2,1,2,4,4,4,4,2,3,2,140,,neutral or dissatisfied
100962,51361,Female,Loyal Customer,51,Business travel,Eco Plus,77,2,2,2,2,2,3,3,2,2,2,2,2,2,4,0,,neutral or dissatisfied
66938,29981,Female,Loyal Customer,55,Business travel,Eco,234,3,4,4,4,5,2,1,3,3,3,3,1,3,5,61,,satisfied
66422,10131,Female,Loyal Customer,56,Personal Travel,Eco,946,5,3,5,4,5,3,1,1,1,5,1,3,1,1,0,,satisfied
69607,22007,Male,Loyal Customer,36,Personal Travel,Eco,503,2,5,4,4,5,4,5,5,4,3,4,3,5,5,0,,neutral or dissatisfied
76291,72353,Female,Loyal Customer,60,Personal Travel,Business,1119,2,2,2,3,2,4,3,3,3,2,3,3,3,3,19,,neutral or dissatisfied
51880,105399,Male,Loyal Customer,60,Personal Travel,Eco,369,2,1,4,2,3,4,3,3,2,4,2,3,3,3,10,,neutral or dissatisfied
42300,12704,Female,disloyal Customer,26,Business travel,Eco,689,3,3,3,2,5,3,5,5,3,4,1,3,1,5,0,,neutral or dissatisfied
36535,96957,Male,Loyal Customer,43,Business travel,Eco,794,1,4,4,4,1,1,1,1,1,1,3,2,4,1,26,,neutral or dissatisfied
83880,9177,Female,Loyal Customer,52,Personal Travel,Eco,416,2,3,2,2,2,1,1,4,5,2,3,1,5,1,266,,neutral or dissatisfied
78728,16774,Male,disloyal Customer,25,Business travel,Eco,169,3,0,3,4,3,3,3,3,1,3,5,2,2,3,15,,neutral or dissatisfied
67996,89190,Male,Loyal Customer,51,Personal Travel,Eco,1892,4,3,4,4,3,4,3,3,2,5,3,2,4,3,80,,neutral or dissatisfied
28959,96667,Male,Loyal Customer,60,Personal Travel,Eco,937,3,5,3,2,1,3,1,1,5,2,5,3,4,1,0,,neutral or dissatisfied
47061,39851,Male,disloyal Customer,57,Business travel,Business,221,5,5,5,3,1,5,1,1,1,1,4,3,4,1,0,,satisfied
23033,13660,Male,Loyal Customer,24,Business travel,Business,462,5,5,5,5,5,5,5,5,4,5,5,4,2,5,46,,satisfied
39834,43806,Male,Loyal Customer,9,Personal Travel,Eco,448,3,5,2,1,1,2,1,1,3,4,4,1,4,1,15,,neutral or dissatisfied
2630,3638,Male,Loyal Customer,35,Business travel,Business,1534,1,1,1,1,3,5,4,5,5,5,5,5,5,5,0,,satisfied
60415,85859,Male,Loyal Customer,7,Personal Travel,Eco Plus,666,2,3,2,1,1,2,1,1,4,3,5,4,5,1,0,,neutral or dissatisfied
12808,100925,Male,Loyal Customer,48,Business travel,Business,2579,4,4,4,4,5,4,4,3,3,4,3,3,3,3,30,,satisfied
9481,125278,Female,Loyal Customer,44,Business travel,Business,678,1,1,1,1,4,4,5,3,3,3,3,5,3,4,0,,satisfied
86475,19620,Male,disloyal Customer,24,Business travel,Eco,416,3,0,3,1,4,3,4,4,2,4,3,5,2,4,89,,neutral or dissatisfied
22840,98485,Male,Loyal Customer,50,Business travel,Business,668,3,3,3,3,2,5,4,5,5,5,5,5,5,3,4,,satisfied
47110,54978,Female,Loyal Customer,25,Business travel,Business,1303,3,3,3,3,4,4,4,4,5,5,5,3,5,4,21,,satisfied
45870,50960,Female,Loyal Customer,42,Personal Travel,Eco,110,2,5,2,3,5,3,5,3,3,2,3,5,3,2,0,,neutral or dissatisfied
69040,40262,Female,disloyal Customer,15,Business travel,Eco,358,3,5,3,3,2,3,2,2,2,2,1,3,1,2,48,,neutral or dissatisfied
93140,110715,Male,disloyal Customer,22,Business travel,Eco,997,3,3,3,3,4,3,4,4,2,5,4,2,3,4,0,,neutral or dissatisfied
68112,56521,Male,Loyal Customer,34,Business travel,Business,1068,2,2,2,2,5,5,5,5,5,5,5,5,5,4,0,,satisfied
46758,45676,Female,Loyal Customer,45,Business travel,Eco,826,5,1,1,1,5,5,2,5,5,5,5,1,5,5,100,,satisfied
54937,108866,Female,Loyal Customer,40,Personal Travel,Eco,1892,2,2,2,2,5,2,5,5,2,2,3,1,2,5,0,,neutral or dissatisfied
33470,86926,Male,Loyal Customer,68,Personal Travel,Eco,352,2,4,5,2,3,5,3,3,5,3,4,5,4,3,42,,neutral or dissatisfied
75334,20497,Male,disloyal Customer,26,Business travel,Eco,130,1,3,1,1,2,1,2,2,4,5,4,1,2,2,121,,neutral or dissatisfied
26913,100785,Female,Loyal Customer,30,Personal Travel,Eco,1411,2,3,3,1,3,3,3,4,2,4,5,3,2,3,183,,neutral or dissatisfied
39076,41160,Female,Loyal Customer,9,Personal Travel,Eco,295,1,5,4,3,1,4,1,1,4,5,5,5,2,1,16,,neutral or dissatisfied
56125,125811,Female,disloyal Customer,31,Business travel,Eco,1013,3,3,3,3,1,3,1,1,4,3,3,3,4,1,0,,neutral or dissatisfied
84637,129489,Male,Loyal Customer,23,Personal Travel,Eco,2704,1,1,1,3,2,1,2,2,1,3,4,4,4,2,0,,neutral or dissatisfied
8421,123742,Male,Loyal Customer,57,Business travel,Eco,96,4,3,3,3,3,4,3,3,4,3,4,3,4,3,16,,neutral or dissatisfied
46943,93047,Male,Loyal Customer,48,Personal Travel,Eco,436,3,5,3,5,1,3,1,1,4,2,5,4,5,1,0,,neutral or dissatisfied
29486,2615,Male,Loyal Customer,46,Personal Travel,Eco,181,2,4,2,3,5,2,5,5,4,4,4,4,3,5,0,,neutral or dissatisfied
99814,106022,Male,Loyal Customer,35,Business travel,Business,2658,1,1,1,1,2,5,4,4,4,4,4,5,4,3,29,,satisfied
95562,22398,Male,disloyal Customer,32,Business travel,Eco,208,3,4,3,3,2,3,2,2,2,2,3,4,4,2,116,,neutral or dissatisfied
27819,40480,Male,Loyal Customer,28,Personal Travel,Eco,222,0,3,0,4,2,0,4,2,1,1,3,4,3,2,0,,satisfied
5496,60650,Female,Loyal Customer,43,Business travel,Eco,1620,3,5,5,5,4,2,2,3,3,3,3,3,3,4,35,,neutral or dissatisfied
4588,27120,Male,Loyal Customer,33,Business travel,Business,2701,3,3,3,3,5,5,5,5,4,5,5,2,5,5,0,,satisfied
91678,39695,Female,Loyal Customer,63,Business travel,Business,205,4,4,4,4,2,5,5,5,5,5,4,4,5,5,32,,satisfied
80967,26055,Male,Loyal Customer,11,Personal Travel,Eco,432,2,4,2,5,1,2,1,1,4,2,5,3,4,1,98,,neutral or dissatisfied
34837,62266,Male,Loyal Customer,11,Personal Travel,Eco Plus,2565,2,5,2,2,5,2,5,5,5,2,3,5,5,5,27,,neutral or dissatisfied
27238,40000,Male,Loyal Customer,8,Business travel,Business,575,2,1,1,1,2,2,2,2,1,2,3,1,3,2,0,,neutral or dissatisfied
81075,78260,Female,disloyal Customer,35,Business travel,Business,903,1,1,1,3,2,1,2,2,4,4,5,3,4,2,0,,neutral or dissatisfied
15860,36677,Male,Loyal Customer,53,Personal Travel,Eco,1249,3,5,3,4,5,3,5,5,4,5,4,5,3,5,0,,neutral or dissatisfied
6947,25024,Male,Loyal Customer,28,Business travel,Business,907,2,1,1,1,2,1,2,2,3,1,3,2,4,2,27,,neutral or dissatisfied
22202,36329,Female,Loyal Customer,34,Business travel,Business,3303,5,5,5,5,2,1,4,4,4,4,4,2,4,3,33,,satisfied
48640,47108,Female,Loyal Customer,34,Business travel,Business,1569,1,1,1,1,4,2,2,4,4,4,4,5,4,1,4,,satisfied
93187,109877,Female,Loyal Customer,55,Business travel,Business,1204,1,1,1,1,3,4,5,5,5,5,5,4,5,5,33,,satisfied
27135,40798,Male,Loyal Customer,32,Business travel,Business,1737,3,2,2,2,3,3,3,3,1,4,4,1,3,3,42,,neutral or dissatisfied
37575,70984,Male,Loyal Customer,49,Business travel,Business,2006,4,4,4,4,2,4,5,2,2,2,2,5,2,5,57,,satisfied
27261,92988,Female,Loyal Customer,45,Business travel,Business,738,5,5,5,5,5,4,4,4,4,4,4,3,4,5,2,,satisfied
13501,40397,Male,Loyal Customer,56,Business travel,Business,1530,5,5,5,5,5,4,4,4,4,4,5,4,4,5,0,,satisfied
60433,18169,Female,Loyal Customer,45,Business travel,Business,2236,2,1,1,1,5,2,3,2,2,2,2,2,2,2,84,,neutral or dissatisfied
50977,73281,Female,Loyal Customer,60,Business travel,Business,1197,1,1,1,1,2,4,5,4,4,5,4,4,4,3,24,,satisfied
79013,11036,Female,Loyal Customer,17,Personal Travel,Eco,224,4,5,4,2,2,4,1,2,4,3,5,4,5,2,11,,neutral or dissatisfied
41293,29880,Male,Loyal Customer,46,Business travel,Business,571,1,1,1,1,5,4,4,2,2,2,1,4,4,4,142,,satisfied
8035,64304,Female,Loyal Customer,40,Business travel,Business,2075,5,5,5,5,5,5,5,2,2,2,2,4,2,4,0,,satisfied
85887,3639,Male,Loyal Customer,44,Business travel,Business,431,5,5,3,5,5,4,5,5,5,5,5,3,5,4,6,,satisfied
34727,115310,Male,Loyal Customer,47,Business travel,Business,337,0,0,0,2,3,4,5,3,3,3,3,3,3,4,0,,satisfied
45307,74356,Female,Loyal Customer,47,Business travel,Business,1171,2,2,2,2,3,5,5,2,2,2,2,4,2,5,0,,satisfied
44057,128817,Female,disloyal Customer,46,Business travel,Business,846,5,5,5,1,2,5,2,2,4,2,5,5,5,2,0,,satisfied
32916,88902,Male,Loyal Customer,17,Business travel,Eco,859,5,3,3,3,5,5,5,5,2,1,5,2,1,5,28,,satisfied
86116,11785,Male,Loyal Customer,63,Personal Travel,Eco,429,1,4,5,5,2,5,2,2,4,4,1,2,5,2,15,,neutral or dissatisfied
47808,5136,Female,Loyal Customer,58,Business travel,Business,184,2,1,1,1,3,4,3,3,3,3,2,3,3,3,14,,neutral or dissatisfied
41980,48724,Male,Loyal Customer,32,Business travel,Business,1667,4,5,4,5,4,4,4,4,3,4,5,5,5,4,77,,satisfied
86468,129015,Male,Loyal Customer,57,Business travel,Business,2704,4,4,4,4,2,4,4,4,4,4,4,3,4,5,0,,satisfied
68398,23308,Female,disloyal Customer,29,Business travel,Eco,794,3,3,3,2,5,3,5,5,4,1,2,2,2,5,0,,neutral or dissatisfied
102067,36729,Male,Loyal Customer,49,Personal Travel,Eco Plus,1249,2,5,2,3,2,3,3,3,4,5,4,3,4,3,230,,neutral or dissatisfied
97915,20070,Male,Loyal Customer,66,Personal Travel,Eco,607,4,4,3,3,5,3,5,5,5,5,4,5,5,5,20,,neutral or dissatisfied
58175,27853,Female,Loyal Customer,35,Personal Travel,Eco,909,1,4,1,5,3,1,3,3,3,3,3,3,1,3,70,,neutral or dissatisfied
63898,124128,Male,disloyal Customer,36,Business travel,Eco,129,4,4,4,2,5,4,5,5,3,5,3,4,1,5,0,,neutral or dissatisfied
71230,43573,Male,disloyal Customer,26,Business travel,Eco,1499,2,2,2,4,5,2,5,5,2,2,3,2,4,5,37,,neutral or dissatisfied
97822,7722,Male,disloyal Customer,40,Business travel,Business,859,2,2,2,1,1,2,1,1,5,3,5,3,5,1,0,,neutral or dissatisfied
43246,96526,Male,Loyal Customer,63,Personal Travel,Eco,436,3,5,3,3,1,3,1,1,5,2,5,3,4,1,64,,neutral or dissatisfied
16132,71867,Female,Loyal Customer,62,Personal Travel,Eco,1726,5,2,5,3,5,2,4,1,3,3,3,4,1,4,153,,satisfied
83758,18201,Female,Loyal Customer,52,Business travel,Eco,179,4,4,4,4,1,5,2,4,4,4,4,1,4,4,35,,satisfied
58791,9288,Male,Loyal Customer,20,Personal Travel,Eco,1190,2,4,2,1,2,1,1,4,2,3,4,1,3,1,198,,neutral or dissatisfied
46563,80208,Male,Loyal Customer,34,Personal Travel,Eco Plus,2586,3,3,3,4,3,1,1,4,5,4,2,1,3,1,202,,neutral or dissatisfied
37755,58494,Male,disloyal Customer,27,Business travel,Eco,719,2,2,2,2,4,2,4,4,1,3,3,2,3,4,100,,neutral or dissatisfied
58677,63345,Female,Loyal Customer,47,Business travel,Eco,372,4,5,5,5,2,2,1,4,4,4,4,3,4,2,66,,neutral or dissatisfied
39291,103322,Female,disloyal Customer,39,Business travel,Eco,739,3,2,2,2,2,3,3,2,1,1,2,3,1,3,151,,neutral or dissatisfied
94724,38176,Female,Loyal Customer,57,Personal Travel,Eco,1091,4,1,4,2,4,3,3,2,1,3,2,3,1,3,271,,neutral or dissatisfied
93270,98862,Female,Loyal Customer,41,Personal Travel,Eco,1751,4,2,4,3,1,4,1,1,1,3,3,4,3,1,0,,neutral or dissatisfied
83395,33367,Male,Loyal Customer,48,Personal Travel,Eco,2355,3,4,3,3,3,2,2,5,3,4,4,2,3,2,414,,neutral or dissatisfied
62432,96264,Female,Loyal Customer,45,Personal Travel,Eco,328,4,3,4,4,5,3,3,2,2,4,2,3,2,2,5,,neutral or dissatisfied
78699,89751,Female,Loyal Customer,37,Personal Travel,Eco,1035,3,5,3,3,1,3,1,1,4,2,4,4,5,1,0,,neutral or dissatisfied
1529,71178,Male,Loyal Customer,39,Business travel,Business,733,2,5,5,5,2,4,3,2,2,2,2,2,2,3,11,,neutral or dissatisfied
38677,18140,Female,Loyal Customer,53,Business travel,Business,3777,3,3,3,3,1,5,5,5,5,5,5,1,5,2,33,,satisfied
64797,119008,Female,Loyal Customer,47,Personal Travel,Eco,459,4,2,4,3,3,4,3,2,2,4,2,4,2,1,2,,satisfied
62504,75644,Female,Loyal Customer,60,Business travel,Business,3041,3,3,3,3,2,5,4,5,5,5,5,4,5,3,0,,satisfied
40343,109437,Female,disloyal Customer,42,Business travel,Business,861,5,4,4,5,5,5,5,5,5,5,5,5,3,5,158,,satisfied
75045,101049,Male,Loyal Customer,54,Business travel,Business,368,4,4,4,4,3,4,5,4,4,5,4,4,4,3,0,,satisfied
87906,70534,Male,Loyal Customer,46,Business travel,Business,1258,3,3,3,3,5,4,4,5,5,5,5,3,5,4,0,,satisfied
42438,92980,Male,Loyal Customer,46,Business travel,Business,738,4,4,4,4,4,4,5,5,5,5,5,3,5,4,21,,satisfied
27916,26631,Female,Loyal Customer,34,Business travel,Business,270,1,0,0,4,5,4,4,5,5,0,5,1,5,4,4,,neutral or dissatisfied
12689,31797,Female,Loyal Customer,45,Personal Travel,Eco,2640,4,4,4,3,2,4,5,4,4,4,3,4,4,4,0,,neutral or dissatisfied
32197,61021,Female,Loyal Customer,21,Personal Travel,Eco,3365,0,2,0,4,5,0,5,5,4,1,4,2,3,5,20,,satisfied
85757,17767,Female,Loyal Customer,40,Business travel,Eco,1214,4,3,3,3,4,4,4,4,2,2,4,3,1,4,110,,satisfied
36064,120093,Female,Loyal Customer,56,Business travel,Business,1576,4,4,4,4,4,4,4,5,5,5,5,5,5,3,115,,satisfied
96946,121028,Male,Loyal Customer,35,Personal Travel,Eco,992,3,4,2,3,3,2,3,3,4,4,5,3,5,3,2,,neutral or dissatisfied
54018,128096,Female,Loyal Customer,41,Personal Travel,Eco,2917,2,3,2,2,2,2,2,2,4,4,3,4,2,2,2,,neutral or dissatisfied
44094,74770,Male,Loyal Customer,49,Personal Travel,Eco,1235,4,4,4,1,3,4,3,3,3,2,4,3,4,3,0,,satisfied
93874,97417,Female,disloyal Customer,24,Business travel,Eco,587,2,1,2,2,2,2,3,2,4,1,2,3,3,2,23,,neutral or dissatisfied
77121,81145,Female,disloyal Customer,24,Business travel,Business,1310,5,4,5,4,4,5,4,4,4,3,5,5,4,4,125,,satisfied
26605,14720,Female,Loyal Customer,66,Personal Travel,Eco,479,4,1,4,4,5,4,4,4,4,4,4,3,4,3,6,,satisfied
69392,60033,Male,Loyal Customer,28,Personal Travel,Eco,1023,4,4,4,5,4,4,4,4,3,1,2,2,5,4,40,,neutral or dissatisfied
32864,66650,Female,disloyal Customer,25,Business travel,Eco,802,4,4,4,3,2,4,2,2,4,3,4,3,4,2,0,,neutral or dissatisfied
76371,26322,Female,Loyal Customer,55,Personal Travel,Eco,892,1,4,0,4,5,5,5,3,3,0,3,4,3,5,16,,neutral or dissatisfied
52126,22672,Male,disloyal Customer,39,Business travel,Eco,589,1,0,1,1,4,1,4,4,2,1,1,3,5,4,0,,neutral or dissatisfied
4897,2408,Female,Loyal Customer,55,Business travel,Business,2904,4,5,5,5,5,3,3,4,4,4,4,3,4,4,58,,neutral or dissatisfied
15371,16371,Female,disloyal Customer,29,Business travel,Eco,1215,3,3,3,4,2,3,2,2,5,4,5,5,5,2,62,,neutral or dissatisfied
12036,52257,Female,Loyal Customer,21,Business travel,Business,651,2,2,2,2,2,2,2,2,1,1,3,3,4,2,12,,neutral or dissatisfied
55429,24729,Female,disloyal Customer,25,Business travel,Eco Plus,406,3,3,3,4,4,3,4,4,2,5,4,1,3,4,1,,neutral or dissatisfied
46295,47757,Female,Loyal Customer,36,Business travel,Eco,329,2,3,3,3,2,2,2,2,2,1,5,4,1,2,0,,satisfied
85689,5411,Male,Loyal Customer,9,Personal Travel,Eco,785,0,5,0,4,3,0,3,3,5,3,4,4,4,3,0,,satisfied
43829,106527,Male,Loyal Customer,50,Personal Travel,Eco,271,2,1,2,3,2,2,5,2,2,3,3,3,3,2,27,,neutral or dissatisfied
60015,104787,Female,Loyal Customer,31,Business travel,Business,587,3,3,3,3,3,3,3,3,4,5,5,3,5,3,102,,satisfied
20049,121192,Female,Loyal Customer,7,Personal Travel,Eco,2521,3,2,4,2,1,4,1,1,1,5,1,1,2,1,0,,neutral or dissatisfied
34677,71265,Female,Loyal Customer,27,Personal Travel,Eco,733,1,5,1,2,1,1,1,4,2,1,3,1,2,1,217,,neutral or dissatisfied
71557,29974,Male,Loyal Customer,50,Business travel,Business,95,1,3,3,3,4,1,3,4,3,4,4,3,2,3,455,,neutral or dissatisfied
59471,39998,Male,Loyal Customer,41,Business travel,Business,618,5,5,5,5,4,4,4,3,3,3,3,5,3,5,0,,satisfied
78237,41427,Male,Loyal Customer,19,Personal Travel,Eco,913,2,4,3,1,5,3,5,5,3,4,5,3,5,5,42,,neutral or dissatisfied
16881,34036,Male,Loyal Customer,18,Personal Travel,Eco Plus,1576,4,5,4,3,4,4,4,4,4,5,5,3,4,4,55,,satisfied
33271,6694,Male,Loyal Customer,16,Business travel,Business,3184,3,1,1,1,3,2,3,3,1,1,3,2,4,3,0,,neutral or dissatisfied
77282,81261,Female,Loyal Customer,39,Business travel,Business,1578,1,1,1,1,5,4,5,4,4,4,4,5,4,3,86,,satisfied
45064,121167,Female,Loyal Customer,37,Business travel,Business,3974,4,4,4,4,2,4,4,4,4,4,4,1,4,4,0,,neutral or dissatisfied
10634,99849,Female,Loyal Customer,26,Personal Travel,Eco,587,3,4,4,2,2,4,2,2,5,3,5,5,5,2,66,,neutral or dissatisfied
101242,89777,Female,Loyal Customer,15,Personal Travel,Eco,1069,3,1,3,4,5,3,5,5,2,3,3,4,4,5,4,,neutral or dissatisfied
46087,5978,Male,Loyal Customer,51,Business travel,Business,691,5,5,5,5,5,4,4,5,5,5,5,5,5,4,0,,satisfied
70167,121201,Female,Loyal Customer,63,Business travel,Eco Plus,2521,3,4,4,4,3,2,2,3,3,3,3,4,3,4,107,,neutral or dissatisfied
213,49608,Female,Loyal Customer,38,Business travel,Eco,109,5,3,3,3,5,5,5,5,5,2,4,1,1,5,31,,satisfied
92778,68538,Male,disloyal Customer,25,Business travel,Eco,1013,2,2,2,3,2,2,2,2,1,3,2,1,3,2,0,,neutral or dissatisfied
93327,72797,Male,Loyal Customer,14,Personal Travel,Eco,1045,2,2,2,2,5,2,1,5,2,3,3,1,2,5,0,,neutral or dissatisfied
